Deck Code   -  Average T5 Damage
08-15-02-05 - Avg. Dmg. : 40.7616
14-07-02-07 - Avg. Dmg. : 40.7614
08-14-00-08 - Avg. Dmg. : 40.7599
10-14-04-02 - Avg. Dmg. : 40.7598
14-07-05-04 - Avg. Dmg. : 40.7502
15-08-04-03 - Avg. Dmg. : 40.7498
08-13-02-07 - Avg. Dmg. : 40.7466
08-14-04-04 - Avg. Dmg. : 40.7451
10-08-07-05 - Avg. Dmg. : 40.736
15-07-02-06 - Avg. Dmg. : 40.7331
08-12-04-06 - Avg. Dmg. : 40.7295
13-07-07-03 - Avg. Dmg. : 40.7277
12-07-07-04 - Avg. Dmg. : 40.7247
09-10-03-08 - Avg. Dmg. : 40.7245
08-12-05-05 - Avg. Dmg. : 40.724
08-16-00-06 - Avg. Dmg. : 40.7187
10-08-06-06 - Avg. Dmg. : 40.7171
08-13-01-08 - Avg. Dmg. : 40.7166
10-09-02-09 - Avg. Dmg. : 40.7139
11-15-02-02 - Avg. Dmg. : 40.7123
08-16-01-05 - Avg. Dmg. : 40.7088
15-07-04-04 - Avg. Dmg. : 40.7074
14-12-02-02 - Avg. Dmg. : 40.7072
10-15-03-02 - Avg. Dmg. : 40.7036
14-13-00-03 - Avg. Dmg. : 40.7027
09-17-00-04 - Avg. Dmg. : 40.7005
08-15-03-04 - Avg. Dmg. : 40.7004
14-08-06-02 - Avg. Dmg. : 40.694
09-11-07-03 - Avg. Dmg. : 40.6921
15-11-01-03 - Avg. Dmg. : 40.692
15-07-05-03 - Avg. Dmg. : 40.6918
15-09-04-02 - Avg. Dmg. : 40.6905
13-11-05-01 - Avg. Dmg. : 40.6821
14-08-00-08 - Avg. Dmg. : 40.6792
08-13-05-04 - Avg. Dmg. : 40.6774
13-08-07-02 - Avg. Dmg. : 40.6731
10-11-07-02 - Avg. Dmg. : 40.6713
09-09-06-06 - Avg. Dmg. : 40.669
12-12-05-01 - Avg. Dmg. : 40.6686
08-12-02-08 - Avg. Dmg. : 40.6684
12-11-06-01 - Avg. Dmg. : 40.6661
08-16-02-04 - Avg. Dmg. : 40.6655
09-10-07-04 - Avg. Dmg. : 40.6576
10-08-05-07 - Avg. Dmg. : 40.6575
13-14-01-02 - Avg. Dmg. : 40.655
16-09-01-04 - Avg. Dmg. : 40.6529
12-08-01-09 - Avg. Dmg. : 40.6519
12-07-03-08 - Avg. Dmg. : 40.6518
09-16-02-03 - Avg. Dmg. : 40.6513
11-07-06-06 - Avg. Dmg. : 40.6508
11-07-07-05 - Avg. Dmg. : 40.6476
13-07-02-08 - Avg. Dmg. : 40.6472
14-06-05-05 - Avg. Dmg. : 40.6458
14-06-06-04 - Avg. Dmg. : 40.6455
12-15-01-02 - Avg. Dmg. : 40.6411
14-06-04-06 - Avg. Dmg. : 40.6397
09-11-01-09 - Avg. Dmg. : 40.6394
11-08-08-03 - Avg. Dmg. : 40.6352
09-10-02-09 - Avg. Dmg. : 40.635
12-13-04-01 - Avg. Dmg. : 40.6305
09-13-06-02 - Avg. Dmg. : 40.6276
13-06-06-05 - Avg. Dmg. : 40.6272
08-11-05-06 - Avg. Dmg. : 40.6232
11-13-05-01 - Avg. Dmg. : 40.6216
15-10-03-02 - Avg. Dmg. : 40.6204
16-08-02-04 - Avg. Dmg. : 40.6164
09-09-05-07 - Avg. Dmg. : 40.6162
16-08-01-05 - Avg. Dmg. : 40.6136
15-06-03-06 - Avg. Dmg. : 40.6127
08-11-04-07 - Avg. Dmg. : 40.6085
15-08-05-02 - Avg. Dmg. : 40.6076
14-13-01-02 - Avg. Dmg. : 40.6056
13-06-05-06 - Avg. Dmg. : 40.6048
13-12-04-01 - Avg. Dmg. : 40.604
11-07-05-07 - Avg. Dmg. : 40.6039
15-08-00-07 - Avg. Dmg. : 40.5972
08-12-06-04 - Avg. Dmg. : 40.5952
10-08-04-08 - Avg. Dmg. : 40.5949
16-09-00-05 - Avg. Dmg. : 40.5945
08-17-00-05 - Avg. Dmg. : 40.5927
13-10-06-01 - Avg. Dmg. : 40.5914
11-12-06-01 - Avg. Dmg. : 40.591
15-12-00-03 - Avg. Dmg. : 40.5893
16-08-03-03 - Avg. Dmg. : 40.5874
11-08-02-09 - Avg. Dmg. : 40.5861
15-06-04-05 - Avg. Dmg. : 40.5861
15-06-05-04 - Avg. Dmg. : 40.5852
16-07-03-04 - Avg. Dmg. : 40.5852
10-09-08-03 - Avg. Dmg. : 40.58
10-10-08-02 - Avg. Dmg. : 40.5784
12-08-08-02 - Avg. Dmg. : 40.5754
12-07-08-03 - Avg. Dmg. : 40.5747
16-09-02-03 - Avg. Dmg. : 40.5736
14-07-01-08 - Avg. Dmg. : 40.572
15-07-01-07 - Avg. Dmg. : 40.5715
12-10-07-01 - Avg. Dmg. : 40.5711
11-09-08-02 - Avg. Dmg. : 40.5693
15-11-02-02 - Avg. Dmg. : 40.5649
08-13-00-09 - Avg. Dmg. : 40.5647
11-16-01-02 - Avg. Dmg. : 40.5635
09-14-05-02 - Avg. Dmg. : 40.5629
08-11-06-05 - Avg. Dmg. : 40.5611
10-10-00-10 - Avg. Dmg. : 40.56
16-10-00-04 - Avg. Dmg. : 40.5594
08-12-01-09 - Avg. Dmg. : 40.5587
10-08-08-04 - Avg. Dmg. : 40.557
16-07-02-05 - Avg. Dmg. : 40.5566
11-11-07-01 - Avg. Dmg. : 40.5561
13-09-07-01 - Avg. Dmg. : 40.5547
09-09-07-05 - Avg. Dmg. : 40.5486
10-17-00-03 - Avg. Dmg. : 40.5481
08-15-04-03 - Avg. Dmg. : 40.5476
14-11-04-01 - Avg. Dmg. : 40.5475
14-10-05-01 - Avg. Dmg. : 40.5439
13-13-03-01 - Avg. Dmg. : 40.5404
11-14-04-01 - Avg. Dmg. : 40.5394
12-14-03-01 - Avg. Dmg. : 40.5384
09-15-04-02 - Avg. Dmg. : 40.5325
11-07-04-08 - Avg. Dmg. : 40.5316
09-09-04-08 - Avg. Dmg. : 40.5281
15-06-06-03 - Avg. Dmg. : 40.5257
12-06-07-05 - Avg. Dmg. : 40.5253
08-14-05-03 - Avg. Dmg. : 40.5248
09-17-01-03 - Avg. Dmg. : 40.5229
10-16-02-02 - Avg. Dmg. : 40.5214
08-11-03-08 - Avg. Dmg. : 40.5208
12-06-06-06 - Avg. Dmg. : 40.5187
11-07-08-04 - Avg. Dmg. : 40.5173
14-09-06-01 - Avg. Dmg. : 40.5159
14-07-07-02 - Avg. Dmg. : 40.5154
16-07-04-03 - Avg. Dmg. : 40.513
08-17-01-04 - Avg. Dmg. : 40.511
16-10-01-03 - Avg. Dmg. : 40.5101
12-06-05-07 - Avg. Dmg. : 40.5074
09-10-08-03 - Avg. Dmg. : 40.5021
14-06-03-07 - Avg. Dmg. : 40.4965
13-06-04-07 - Avg. Dmg. : 40.4949
16-08-00-06 - Avg. Dmg. : 40.4944
10-08-03-09 - Avg. Dmg. : 40.4939
08-10-06-06 - Avg. Dmg. : 40.4936
13-06-07-04 - Avg. Dmg. : 40.4933
14-06-07-03 - Avg. Dmg. : 40.4902
16-06-03-05 - Avg. Dmg. : 40.4899
08-10-05-07 - Avg. Dmg. : 40.4871
09-11-00-10 - Avg. Dmg. : 40.4804
12-09-08-01 - Avg. Dmg. : 40.4788
13-08-00-09 - Avg. Dmg. : 40.4782
09-12-07-02 - Avg. Dmg. : 40.4773
14-12-03-01 - Avg. Dmg. : 40.476
10-14-05-01 - Avg. Dmg. : 40.4717
11-09-00-10 - Avg. Dmg. : 40.4706
08-11-07-04 - Avg. Dmg. : 40.4576
09-16-03-02 - Avg. Dmg. : 40.4561
08-13-06-03 - Avg. Dmg. : 40.4558
16-06-04-04 - Avg. Dmg. : 40.4546
12-07-02-09 - Avg. Dmg. : 40.4501
16-09-03-02 - Avg. Dmg. : 40.4498
15-12-01-02 - Avg. Dmg. : 40.4487
10-13-06-01 - Avg. Dmg. : 40.4484
15-07-06-02 - Avg. Dmg. : 40.4482
09-09-08-04 - Avg. Dmg. : 40.4462
13-07-08-02 - Avg. Dmg. : 40.445
13-06-03-08 - Avg. Dmg. : 40.4366
07-15-02-06 - Avg. Dmg. : 40.4364
10-15-04-01 - Avg. Dmg. : 40.4341
07-13-03-07 - Avg. Dmg. : 40.4328
16-07-01-06 - Avg. Dmg. : 40.4292
07-15-01-07 - Avg. Dmg. : 40.4271
10-07-06-07 - Avg. Dmg. : 40.4255
08-16-03-03 - Avg. Dmg. : 40.4236
13-06-08-03 - Avg. Dmg. : 40.4208
14-14-00-02 - Avg. Dmg. : 40.4204
07-14-01-08 - Avg. Dmg. : 40.4199
07-15-03-05 - Avg. Dmg. : 40.4197
12-16-00-02 - Avg. Dmg. : 40.419
12-06-08-04 - Avg. Dmg. : 40.4164
13-15-00-02 - Avg. Dmg. : 40.4151
08-11-02-09 - Avg. Dmg. : 40.4128
14-05-06-05 - Avg. Dmg. : 40.4093
11-08-09-02 - Avg. Dmg. : 40.4089
